"ch_1","ch_2","ch_3","ch_4","ch_5","ch_6","ch_7","ch_8","finger"
"0.031338","0.034313","0.068102","0.042766","0.046038","0.0426","0.015003","0.013301","0"
"0.0819","0.073839","0.084832","0.053588","0.027452","0.024095","0.015497","0.019742","0"
"0.083584","0.083929","0.072904","0.06282","0.031403","0.026898","0.013","0.016049","0"
"0.088147","0.07975","0.064903","0.054958","0.033568","0.034665","0.015706","0.019969","0"
"0.056762","0.057969","0.09195","0.046413","0.031101","0.027039","0.012494","0.013343","0"
"0.062344","0.065033","0.067835","0.04573","0.031836","0.033864","0.014801","0.015685","0"
"0.076274","0.08057","0.079848","0.04561","0.031721","0.030823","0.014408","0.016625","0"
"0.06516","0.060205","0.074179","0.057138","0.033757","0.029719","0.014112","0.014616","0"
"0.058784","0.062834","0.061746","0.051229","0.034405","0.033641","0.014208","0.013868","0"
"0.061703","0.055311","0.065123","0.040122","0.027989","0.026776","0.012173","0.014703","0"
"0.073637","0.052847","0.070347","0.053972","0.038935","0.036497","0.015045","0.018277","0"
"0.085454","0.061844","0.07903","0.051205","0.031249","0.024888","0.014912","0.022227","0"
"0.065868","0.06306","0.055346","0.045081","0.03039","0.02484","0.014452","0.015477","0"
"0.056421","0.054812","0.055215","0.036607","0.029151","0.02967","0.014466","0.013191","0"
"0.088033","0.066524","0.059892","0.045241","0.035056","0.029143","0.013868","0.016527","0"
"0.06646","0.0626","0.063436","0.0465","0.025696","0.021748","0.01296","0.013479","0"
"0.02922","0.028881","0.088116","0.032784","0.02748","0.023753","0.012717","0.01158","0"
"0.050992","0.052454","0.077633","0.040321","0.026446","0.025966","0.014295","0.012782","0"
"0.032874","0.041793","0.079301","0.038213","0.02768","0.028683","0.014385","0.01286","0"
"0.032728","0.034248","0.084144","0.032433","0.035458","0.035707","0.014753","0.012435","0"
"0.032112","0.03873","0.077123","0.038947","0.035096","0.034456","0.01361","0.012612","0"
"0.03585","0.041125","0.089758","0.035334","0.031466","0.028999","0.01294","0.011755","0"
"0.048392","0.051062","0.063383","0.039877","0.029524","0.030623","0.015003","0.012824","0"
"0.029635","0.040022","0.092275","0.042871","0.03275","0.028009","0.015227","0.012135","0"
"0.031679","0.042698","0.071605","0.041279","0.032426","0.03041","0.012833","0.011353","0"
"0.047079","0.057917","0.058337","0.03838","0.032568","0.028691","0.01439","0.014754","0"
"0.023438","0.041698","0.04184","0.020375","0.031941","0.030678","0.014062","0.011248","0"
"0.022719","0.02891","0.034622","0.019173","0.029132","0.026605","0.012247","0.011486","0"
"0.019293","0.023294","0.035686","0.021683","0.030076","0.030027","0.013558","0.011316","0"
"0.026702","0.029482","0.030717","0.019352","0.028452","0.027837","0.014474","0.012924","0"
"0.026498","0.031668","0.036786","0.021202","0.028953","0.027952","0.012453","0.011551","0"
"0.026114","0.025584","0.031902","0.021199","0.025122","0.024525","0.012906","0.01091","0"
"0.021439","0.03584","0.036132","0.024123","0.032492","0.030735","0.01322","0.010996","0"
"0.025578","0.030182","0.032065","0.022435","0.033061","0.033979","0.013543","0.012101","0"
"0.025873","0.024704","0.051277","0.02592","0.029626","0.030344","0.013629","0.011822","0"
"0.021021","0.026892","0.051267","0.021248","0.03057","0.029167","0.012945","0.010698","0"
"0.021489","0.019886","0.034179","0.019724","0.02892","0.027928","0.012509","0.011091","0"
"0.021772","0.025821","0.02699","0.020408","0.034221","0.031808","0.016174","0.010375","0"
"0.020173","0.026421","0.035265","0.02627","0.038732","0.035294","0.013623","0.010671","0"
"0.021679","0.023573","0.040257","0.021884","0.030576","0.031007","0.013844","0.010674","0"
"0.024344","0.030051","0.058372","0.021258","0.029485","0.031779","0.014141","0.011294","0"
"0.022132","0.029884","0.041862","0.022585","0.030833","0.029576","0.011688","0.011629","0"
"0.020683","0.021514","0.037077","0.020024","0.030496","0.030328","0.012663","0.0099165","0"
"0.023488","0.029359","0.029971","0.017653","0.028347","0.029769","0.012333","0.01133","0"
"0.017123","0.026368","0.035406","0.019088","0.027046","0.024659","0.013347","0.010278","0"
